timestamp,appliance,state
2024-01-01 06:05:23,Lamp,on
2024-01-02 06:12:45,Lamp,on
2024-01-03 06:08:17,Lamp,on
2024-01-04 06:15:32,Lamp,on
2024-01-05 06:03:58,Lamp,on
2024-01-06 07:45:12,Lamp,on
2024-01-07 08:20:33,Lamp,on
2024-01-08 06:07:41,Lamp,on
2024-01-09 06:18:55,Lamp,on
2024-01-10 06:05:14,Lamp,on
2024-01-11 06:22:08,Lamp,on
2024-01-12 06:11:37,Lamp,on
2024-01-13 07:32:19,Lamp,on
2024-01-14 08:15:44,Lamp,on
2024-01-15 06:09:28,Lamp,on
2024-01-16 06:14:52,Lamp,on
2024-01-17 06:06:33,Lamp,on
2024-01-18 06:19:47,Lamp,on
2024-01-19 06:04:11,Lamp,on
2024-01-20 07:28:56,Lamp,on
2024-01-21 08:05:22,Lamp,on
2024-01-22 06:13:29,Lamp,on
2024-01-23 06:08:44,Lamp,on
2024-01-24 06:16:15,Lamp,on
